Tweet_ID,Hastag
1477082237858459652,#thisisfine
1477082239443759107,#CrimesAgainstHumanity
1477082239443759107,#NurembergCode
1477082242652553219,#londonfireworks
1477082242824474626,#BTS
1477082242824474626,#JHOPE
1477082242824474626,#donation
1477082242908364802,#JoeBiden
1477082242908364802,#UttarPradesh
1477082242908364802,#Covid19
1477082242908364802,#ImpeachBiden
1477082243617234946,#HAPPYNEWYEAR2022
1477082245554786305,#stillpissed
1477082246787964928,#COVIDisAirborne
1477082246787964928,#politas
1477082247635222528,#KitaJagaKita
1477082247731814401,#Omicron
1477082247912206339,#Jesus
1477082247912206339,#Wakeup
1477082250772680711,#TuDistanciaEsMiDerecho
1477082250772680711,#DiciembreSeguro
1477082256409866248,#ClimateCrisis
1477082256409866248,#ClimateActionNow
1477082256409866248,#ClimateCatastrophe
1477082256409866248,#joemanchinrichandshameless
1477082256409866248,#SaveDemocracy
1477082256409866248,#savetheplanet
1477082256409866248,#CovidVaccine
1477082256409866248,#Omicron
1477082256409866248,#BoosterJab
1477082262017613832,#community
1477082262017613832,#COVID19
1477082262017613832,#healthcare
1477082262017613832,#vaccinesafetyadvocate
1477082262017613832,#bettertogether
1477082262671749131,#COVID19
1477082263087157255,#leadership
1477082263087157255,#pandemic
1477082263577845767,#México
1477082264865415169,#covid19
1477082267298283530,#COVID19
1477082271710646277,#nearfuturist
1477082272390078465,#PlanNavidad2021
1477082277200990208,#COVID19
1477082277477859338,#Prepare
1477082277477859338,#BeReadyUtahExpo
1477082278111199244,#SecurisezNosEcoles
1477082278111199244,#VagueBlanquer
1477082278111199244,#BlanquerMent
1477082278111199244,#BlanquerTUE
1477082278111199244,#BlanquerDemission
1477082278589251585,#opioid
1477082278589251585,#epidemic
1477082278589251585,#opioidstats
1477082280057257985,#COVID19
1477082280573157390,#Notícias
1477082280573157390,#Brasil
1477082280573157390,#Covid
1477082280963231744,#COVID19
1477082282540208130,#Concord
1477082282913505282,#cancelboardexams2022
1477082283270184963,#Omicron
1477082284025077764,#COVID19
1477082285836955650,#UsefulIdiotsPod
1477082288500391946,#AOCLovesDeSantis
1477082288538017795,#AbbottFailedTexas
1477082289301594121,#COVID19
1477082289301594121,#children
1477082289301594121,#OMICRON
1477082291281317894,#EXPRESO
1477082291281317894,#SomosTodos
1477082291503570948,#florona
1477082292392583168,#Covid19
1477082292619071489,#COVID
1477082292656824320,#BestoftheBee2021
1477082293231489024,#Temuco
1477082295794552834,#COVID19
1477082297362956289,#retrospectiva
1477082298344423427,#RT
1477082298344423427,#Omicron
1477082298344423427,#HappyNewYear
1477082298344423427,#MakeAResolution
1477082298344423427,#BeSensibleBeSafe
1477082298344423427,#PublicHealthGuerrillas🦍
1477082300701720578,#oralvaultradio
1477082300701720578,#lockdown
1477082300701720578,#keepiton
1477082301100183556,#portland
1477082301100183556,#portlandoregon
1477082301100183556,#portlandrealestate
1477082301100183556,#oregonrealestate
1477082301100183556,#oregonproperty
1477082301100183556,#portlandblack
1477082301100183556,#blm
1477082301100183556,#oregonrealestate
1477082301255331846,#nasa
1477082301255331846,#Duque
1477082301733376001,#omicron
1477082303872466945,#Covid19
1477082305663492097,#HelpUsBrandon
1477082306137702400,#Medien
1477082306137702400,#liv
1477082306594627592,#TeamKings
1477082313301405703,#NJ
1477082313301405703,#COVID19
1477082313322373122,#COVID19
1477082317629931523,#white
1477082317629931523,#betty
1477082317629931523,#times
1477082317629931523,#fact
1477082317629931523,#covid
1477082317629931523,#actress
1477082317629931523,#world
1477082317629931523,#beloved
1477082317629931523,#decades
1477082317629931523,#life
1477082317755584514,#RobertMalone
1477082317755584514,#ARN
1477082325150314497,#cervicalcancer
1477082325150314497,#covid19
1477082325586526209,#capdany
1477082325586526209,#COVID19
1477082326479917061,#COVID
1477082326479917061,#LifThreatening
1477082326479917061,#FDA
1477082326513303553,#Omicron
1477082326513303553,#vanpoli
1477082326513303553,#BCedEnhancedMeasures
1477082327452901383,#happynewyear
1477082327452901383,#newyear
1477082327452901383,#newyearsresolution
1477082327452901383,#amardeepsteelcentre
1477082328665145348,#F
1477082330967814149,#UsefulIdiotsPod
1477082333186789382,#bts
1477082333186789382,#jin
1477082333186789382,#RM
1477082333186789382,#korean
1477082333186789382,#korea
1477082333186789382,#kpop
1477082333186789382,#covid
1477082335149375490,#DatosAbiertos
1477082335149375490,#COVID19
1477082335464013835,#AbbottFailedTexas
1477082336147685378,#COVID19
1477082336168751109,#Washi
1477082337506701314,#SEL
1477082337506701314,#emotionalhealth
1477082337837862913,#COVID
1477082339364651008,#COVID
1477082339499208704,#WhereIsRon
1477082340069421057,#Teachers
1477082340069421057,#education
1477082341029781505,#COVID
1477082341507928064,#StayHome
1477082341507928064,#StaySafe
1477082341709287425,#Ashes
1477082343160651780,#Omicron
1477082343189975043,#JudgeMichelleOdinet
1477082343189975043,#newyork
1477082343378755586,#SancaTuitsAwards
1477082343894515712,#canlab
1477082343894515712,#onpoli
1477082343894515712,#onted
1477082343894515712,#COVID19
1477082345375035392,#COVID
1477082345425547269,#londonfireworks
1477082347384233987,#COVID
1477082347384233987,#FDA
1477082347384233987,#pharma
1477082347677831169,#Omicron
1477082351586918401,#Phish
1477082352035717120,#CoVid19
1477082352794980352,#Austria
1477082354669654018,#Wh
1477082354845945860,#WearAMask
1477082354845945860,#GetVaccinatedNow
1477082354845945860,#HappyNewYear
1477082356402073601,#Chargers
